index,sentence,label
159,뭐 있다고 나는 돌아 가지고 있는데,0
160,너는 뭐 했니 말하세요,0
161,욕하지 마 너 아가리 파이터,0
162,미안해 아 뭐 하고 있어 그냥 준다,0
163,꿀잼이야 우리 안녕 이래 내가 뭐라고 미안한데,0
164,그거까지 왜 용돈도 못 사는 게,0
165,멍청한 놈아 좀 뒤로 주면 안 되겠니 앞에 가서 뭐 하니,1
166,지금 않잖아 하지 말라고 당당하게 얘기하자고,0
167,내가 말했지 앞에 가서 주면 안 된다고 했어,0
168,너 지금 말 다했니 진짜 진심 아빠 제가 제가 받아주세요 상처 받았니 근데,0
169,목소리가 말할 수 있다고 나한테 그렇게 좋다고 하는데,0
170,어 얘들아 너네 천안 다녀간 애들 난 처음 봤어,0
171,아 나 힘들다,0
172,힘들다고 있거든 너희 오빠 좀 가 봐야 될 거 같아,0
173,왜 그래야 내 마음이 거든 때문에 지금 갈 거니까,0
174,내가 말을 하는 거지 벌써 빠졌어 왼쪽에 주세요,0
175,바로 내려 몰랐잖아,0
176,비가 많이 줘야 되지,0
177,내가 먼저 찍었잖아 이 등신아 먹고 있어 먹고 있다,1
178,너 지금 한번 죽었는데,0
179,어 안 물어봤거든 6시야 시발좀 똑바로 왜 그래,1
180,내가 알거든 어 무지개 반사 지랄이야 목소리가 났어,1
181,안녕하세요 안녕하세요 좀 걸릴 거 같은데,0
182,네 명이니까 괜찮아요 왜 가겠네 혈관 청소 다 했어,0
183,아 시발 새끼 못 본 줄 알았는데,1
184,좆 같은 새끼 돼지 씨부랄 거 하나 더 해 보세요,1
185,한스럽게 하려고 하는데,0
186,어디예요 지금 120억 블루투스 제일 제일 앞에 나와 있네,0
187,여기 계속 왔는데 아 시발 씨발새끼야 본 어,1
188,여기도 S 플러스 같아요 쪽에서 아까 전에 옥사,0
189,옥사 맞아 아니 안 잡았어요,0
190,빨래 지금 거의 다나까귀금속 네 없는데 없어요,0
191,없어 있어 안에 들어갔어요 안 해 안 해 아,0
192,진짜 죽는 거예요,0
193,단체로 좀 아깝지 않아 한 명 죽은 건데,0
194,아 근데 저녁 너무 오래 기다려요,0
195,아 이어폰 보라고 가지고 한번 하자,0
196,그러면 5번이 강아지인가 8단지 떨어져요 일방통행,0
197,다리 건너 갔다 해야 되네 어 위치 못 찾겠네요,0
198,여기서 여기서 여기서 남아요 아,0
199,그만 개새끼야 5번이 마이크 좀 줄여 주세요,1
200,레전드 있는데 어 시원하고 다섯 개 있는데,0
201,안 간다 안 간다 안 간다 안 간다,0
202,준비 준비 준비 오케이 아니야,0
203,잡아서 아 찍었어 도라이 새끼야 뭐 하는 거야,1
204,도라이 새끼야 병신 새끼야 시발,1
205,다 빌려 내 위치 사모님,0
206,여기 진짜 자신의 욕 안 한다,0
207,시발 그만해 땀이 저절로 개새끼들,1
208,우리 가게 가야 되는데,0
209,오토바이 사고 1번이 오케이 들어가 줘 아무도 없다는 확신,0
210,여기로 가 여기 여기 사부님 염병,1
211,어떻게 드시네 카페 집인 거 같은데,0
212,어제 만든 뭐야 많이 따고 있냐 같은 거 시킨 거 아닌데 아,0
213,정말 하자마자 뒤져 짜나 닫아 어디 가면 1번이 죽는데,0
214,아 죄송해요,0
215,뭐야 안으로 들어가 안 해 달라는데,0
216,문틈에 다가 염병 거지 같은 집에 안 된다고 싸우고 있었어요,1
217,아 죽었다 미치겠다 인식인데 조진다 진짜로 어딨죠,1
218,아까 아까 2번 중에서 쓴 거 같아,0
219,근데 여기 여기 여기 두 마리 못 봤어 못 봤어,0
220,길만 건너면 돼 10만 절 조정해 주세요,0
221,유하유하 엿 먹어 버려 한번 그래도 한번 더 있다,1
222,기다리다 기다리다 이제 없어요,0
223,거기 없어 그래 있잖아 있잖아,0
224,아니 그거 말고 아니 아니 아니 아니,0
225,어디 어디 어디 아니다 줘서 내가 데리고,0
226,제가 알아서 할게요,0
227,시켰어 모르는데 모르는가 본데 올리가 없는데,0
228,좀 더 있어 봐요 알았어,0
229,알았어 전체채팅 아리가또 다 들고 있는 거 아니야,0
230,내가 다 해 볼까 일하세요 같이 한번 더 하기로 했나,0
231,그치 아닌가 가면서 3만 했더니 계속,0
232,너는 그 없잖아,0
233,맞지 태어나 가지고 씹새끼야 있다가 이제 나왔네,1
234,씹새끼 까지 요즘 애들이 없네,1
235,진짜 너 자라고 봐봐 야 조용히 해,0
236,꼬맹아 시발 안 합니다,1
237,오늘 씨 형님 우리 네 목소리가 콘덴싱 만들어요 만들어요,0
238,누구의 믿는 거예요,0
239,개소리야 아니 그쪽이 먼저 누가 뭐 하냐,1
240,왜 그럼 누구 이름이 뭐예요,0
241,이게 영화 영화의 한 장면 야,0
242,우리 하지 마 다른 거야,0
243,알았지 무서워서 안 되겠다 오신다면 하세요,0
244,님들 튀어 가보세요 몰라요 몰라요,0
245,노는 게 좀 카카오 배그 갈 때,0
246,노는 게 다 스팀배그 가 이제 밖에 나가기 하세요,0
247,아니 지금 주방이 후반인데,0
248,아니 이게 무슨 이제 나이가 들어 가지고,0
249,갱년기 되시는 분이 협박하지 마라,3
250,안녕 임 잘못했어 안 했어 이 형님,0
251,죄송합니다 다음부터 안 그러겠습니다,0
252,아름답다 빨리빨리 싫어요,0
253,그런 말하면 안 돼,0
254,너의 엄마 엄마한테 엄마,0
255,마지막 어렸을 때 너 태어나 가지고 이제 나왔네,0
256,씹새끼 진짜 더워 재밌다 느낌이야 느낌,1
257,짜릿하다 한라산 먹는 거 같아요,0
258,지금 남는 분 없으시죠,0
259,아무거나요 감사합니다 이사 갔어 있어 가지고,0
260,맨날 모른대 내일 와서 보세요,0
261,빨리 자자 뒤지기 싫으면 너네 엄마 범하기 전에 가만히 있어,2
262,내가 한 말 진짜 여기 1번 너희 엄마 다음에 버린다,2
263,미안한데 너는 여기에 있는데 너 털은 났니 좆만한 새끼 여러분들,1
264,요즘 청소년들이 요즘 청소년들이 싫다고 이거,0
265,오버워치 가면 이렇게 더 심해요,0
266,아 진짜 PC 방 가서 죽여 버리고 싶다,2
267,근데 이 새끼를 낳아 그리고 저런거에 피면 안 돼요,1
268,이거 저런 애들이 깨지면 안 돼 우리나라 애들이 말씀드리지만,0
269,저런 거야 환하고 막 그러면 안 돼요,0
270,이렇게 많아 요즘 애들이 안 맞고 싶어서,3
271,그래 거야 버르장머리가 없어 법이 너무 좋아졌어,3
272,요즘 초딩들 뭐 맞으면 신고 한다며,0
273,아니 진짜로 버르장머리 고친다고 뭐라고 해도 바뀐다고,0
274,세상이 가까워요 W330 아,0
275,요즘에 교육을 제대로 받았는데,0
276,진짜 어떻게 전화를거는 상상까지 하고,0
277,저는 말까지 할 수 있는 지금 오버워치 안 해 봤죠,0
278,심심해요,0
279,오버워치가 망한 이유가 그런 것 때문에 그래,0
280,진짜로 너무 그래서 이제 그거 그게 망해 가지고,0
281,이제 배구를 넘었는데,0
282,그 개새끼들 존나 그래 처 맞아야 되는데 나갔네,1
283,우리 때는 엄청 맞으면서 괜찮아요 선생님 무서운 모르겠구나,0
284,그냥 모르죠 신관으로 알려 달라고 그래요,0
285,버려 뚝배기 뚝배기 연락이 없어요,0
286,거기 맞은편 나 오늘 좀 안 될 것 같은데,0
287,위치를 모르겠어요,0
288,이번 지금 바로 앞에 친구 들어와 주실 수 있으신가요,0
289,야 네가 말 안 해 이 새끼야 아,1
290,왜 이거 한 번만 설정 하고 있어 설정,0
291,유튜브 하는 여자 같아 목소리 똑같아 예 예,0
292,예 예 예 이제 내려간다,0
293,한결같이 나간다,0
294,배달 하거든 답이 없었어 어,0
295,아니 반말 듣기 싫으니까 하지 마시라고요,0
296,저희 초면 있잖아요 반말 하지 마시라고요,0
297,싫다고요 찾으라고 할게요,0
298,그냥 내가 없어도 너무 없어 저거 술 먹었어요,0
299,혹시 아까 얘기하는 거 보니까,0
300,개 정도 공유하시는 거 같은데,0
301,본인아이디 아니라서 지금 막 하시는 건가,0
302,대리 바꾸시고 올라 오신 거예요,0
303,지금 목소리만 존나해 진짜 아가리 좀 하세요,1
304,그러면 적당히 해 아가리 만들었어,3
305,참길 때 우리 저기 받아 줄래요,0
306,똥 뭐야,0
307,사탕 있어요 폭발시켰다,0
308,기차 자시 일어났어 파라파라 파라파라,0
309,이거 팔아 달 거 시간 바꿔 이거 내 거 안 돼요,0
310,종근당 일하고 있는 거야,3
311,병신 같은 새끼 이거 안되나,1
312,병신 같은 새끼 가져가지 병신 새끼야,1
313,씨발놈아 병신이야 아버지 같은 새끼,1
314,10시 4분 새끼야 12시 얼마나 걸리냐,1
315,시발 새끼 새끼 지랄하고 자빠졌네 이 개새끼야,1
316,씨부랄 놈 이 좆만한 새끼가 병신아 좀 잘하구나,1
317,쳐 말해 줘 잡고 있어 이 씹새끼야 애미 없는 새끼,1
318,저 새끼 킬로가 안 떠 그냥 앉아 있어 이거 잘하고,1
319,이것도 씨발놈아 해 줘야 되는데 진짜 할 거 없어,1
320,그냥 들어가 이제부터 30분 봐 뒤로 뒤로,0
321,잠깐 마지막에 전달해 줄게 없거든,0
322,박스에 있는 거 같은데,0
323,아 진짜 이거 사람이 나잖아 아이고 돼지 병신들,1
324,어떻게 하고 똑같은 것만 골라서 하는 방법,0
325,3시 3분 30초 맞아야 돼,0
326,씨발년아 못 하면 진짜 훈련할 때 차,1
327,아 저 새끼들 네 명,1
328,새끼 원래 같은 새끼 최고의 플레이,1
329,씨발놈아 아 시발,1
330,새끼야 왜 시발 시발 개새끼야 개새끼야 아냐,1
331,이거 그만해 새끼야 운동을 해야 돼,1
332,그래야지 경비실 말고 집에 왔다,0
333,아 진짜 시발 왜 지랄이야 이 새끼를 뭐라,1
334,그러고 싶다고 했잖아 안 하거든 그만 죽여라 못 한다,3
335,진짜 그냥 말하는 거야,0
336,아 모르겠다,0
337,아 나 김수섭 해야 되는데,3
338,하라고 해 새끼들 다 병신이야 어,1
339,일단 사고 시끄럽고 시발 새끼 말하는 싸가지 존나,1
340,오늘 너 차단해 개새끼야 시발 새끼들 고맙습니다,1
341,달달한 시발 새끼 그냥 고맙습니다 고맙습니다,1
342,이렇게 딱 일곱 살이 없고,0
343,여기 존나 잘하네 보영이 형 네 거 사다가 버리겠네,0
344,달달이 버리고 나한테 와라 잘해 줄게 뭐래 버리고 오래 아,0
345,근데 내가 봤을 때도 형한테 가게,0
346,나와 맘대로 하네,0
347,여튼 아 하고 싶지 멋있다고 전달되는데,0
348,졸라 멋있어 나도 가고 싶어 2 나와,1
349,아니 시발 메일 밖에 못 하는 새끼야 뭐하러 하냐,1
350,진짜 애들이 덕질을 시발,1
351,병신 새끼 진짜로 진짜 레전드 나한텐 자살했다 시작했다,1
352,애들 시작했다 잘하더라 다들 어디,0
353,무엇을 마이크 안 들려요 같은 년아 이 간지럽다,2
354,병신아 알아서 못 하면서 말해 주려고 시발,1
355,병신 새끼가 지금 뭐 하고 있나,1
356,똥 싸 놓고 같은 년아 불쌍해,2
357,불쌍해 왜 크리스탈 잊어버렸다,0
358,미안 돼 있는데 이 새끼가 아 씨발놈아 브리핑 할까,1
359,마이크를 깨어 있을 것 같은 년아,2
360,병신아 고장 나서 고쳐 달라는 거야 이 병신 새끼야,1
361,시발 계속 모기만한 현재 경기 빠졌어 있단게 브리핑 아니고,1
362,그래요 사장님 전화 선아와 없어,0
363,이제 여자야 남자야 깨우는데 꺼졌다,0
364,이거 못 이겨 가까운 데가 돼 봐라,0
365,네 어미가 페이지 말하지 나,3
366,지금 혼자 2층에서 올려놓고 싶었어요,0
367,고전 닫아 아 레전드 가면 아 이렇게 쳐야 돼,0
368,나는 나는 떨려 켜져야 돼 나 오늘 투표했어,0
369,얘들아 두 번째야 이거 두 번째 두 번째 판이야,0
370,아니 무슨 게임 하다가 이렇게 싸우냐 진짜 형 죽겠다,0
371,진짜 어떻게 뭐 저거 말리지도 못 해,0
372,저거 한번 싸우고 끝날 때까지 싸워 아 욕한 거 봐봐,0
373,패드립은 기본 장착 이고,3
374,그냥 하면 죽을 때까지 그냥 욕을 해,0
375,버리네 이래 서영이 힘들다 얘들아 힘들다,0
376,셀프 야 일 좀 하자,0
377,새끼야 좀 이제 욕설 하는 거 좀 걸어 줘,1
378,뭐 신고 센터 좀 답 좀 해라,0
379,어 유저들이 지금 나 짝바지 야,0
380,이거 회사에서 네가 적극적으로 제 해 줘야지,0
381,언제까지 기다릴 거야,0
382,어 이 책을 나중에 꼭 물을 것입니다,0
383,제품 네가 꼭 부를 거야,0
384,내가 끝나지 이거 죽은 끝났네 수고했어요,0
385,아 시발 좆 같네 아 저 새끼,1
386,몇 했냐고 시험 몇 했냐고 닥쳐 시발 내가 죽어버릴까,1
387,좆 같은 새끼야 씨발놈아 돼지,1
388,새끼야 아가리 닥쳐,1
389,씨발년아 뭐야 말을 하든,1
390,들어와서 했으면 좀 늦어질 것 같네,0
391,아니 좀 들어가서 TV 좀 해 줬으면 괜찮겠네,0
392,여자는 뭐야 또 나는 나는 금장 남자 자연인 야,0
393,그러면 남자 도우미 아,3
394,내가 이래서 금방 되거든 아이디 삭제 한다니까 미쳐버리겠다,3
395,어떻게 끝났다고 네 진짜 왜 이렇게 따로 지리지,0
396,아나 진짜 너 못생겼다,3
397,어 겁나 웃겨 아 진짜 열받아 열받아,0
398,다음에 안아 줘,0
399,오늘 폰트 하드코어 스턴트레이스 한번 줘 봅시다,0
400,오토 파쿠르 라는 이름의 스턴트레이스,0
401,근데 중요한 건 옆에 가로열고,0
402,하드 가로 닫고 가 붙어 있고,0
403,평가가 18% 스턴트레이스 주제,3
404,18% 뭐지 뭘 해야 되지,3
405,이건 당연히 이런 거는 난 나만의 길을 간다,0
406,벌써 봐야겠다,0
407,원만 하면 해야 돼 이런 거 어려운 거 뭐지 좋다,0
408,이거 봐 봐 뭐야,0
409,이거 갑자기 꺼져서 그치 그치 안 되네,0
410,또 가짜 나 지금 수고,0
411,어떻게 찍었어 떨어지면서 아,0
412,내 길을 막지마 뽀뽀 지겠다 아,0
413,이거 벽타기 불친절한 에,0
414,벽타기 스스로에게 스스로 다 여기 뒤져서 가는 거야,0
415,지금 거기서 살살이 아니라,0
416,와 이거 이렇게 만들어 놨냐,0
417,그냥 올라가는 게 다가 아니네 내려야 돼 아,0
418,이거 됐다,0
419,이거를 왜 이렇게 거지같이 만들었어 진짜 오케이 됐다,1
420,어떻게 죽이라는 거지,0
421,이거는 여기서 이거 이거는 천천히 돼 있어야 돼,0
422,갑자기 올라가 올라가 올라가 나이스,0
423,나이스 라고 그랬냐,0
424,아 제발 최근 내 진짜 S3 받아야 돼,0
425,개근상 사랑해 지금 무슨 여기 찍었고,0
426,잠깐만 선생님 아 잠깐만 아 잠깐만 잠깐만,0
427,내가 이거 어떻게 해야 되지 그냥 됐어,0
428,노란색 한 바퀴,0
429,그것도 그거 빨리 가야 돼 뭐가 아,0
430,내가 알아서 혼자 두지 마,0
431,또 있어 어 어 그만해 하늘 들고 올랐다,0
432,여기도 극혐이야 근데,2
433,아니 내가 어딨어 뭐,0
434,이딴 게 다 있나 싶어 가능성이 없어요,0
435,인생 야 누가 누가 스턴트 벽타기,0
436,레이스 아무것도 아니야 이거 만들었어,0
437,미친 놈이니까 이런 거 아,1
438,진짜 이거 와 진짜 알리겠다,0
439,오케이 좋아 나 알았다 알았다 알아버렸다,0
440,너 된다 된다 된다 수고했다,0
441,잘 자라 안녕 그리고 노하우 좀 안 돼 고맙다,0
442,정말 마지막에는 그거 감고 있으니까 아 죽었다 싶지 않다,0
443,아 야 이제 알았다 라 이제 알았다 야 끝났다,0
444,수고 알았어 1초도 안 되는데 어 됐다,0
445,야 이거는 솔직히 아,0
446,왜 아 노력의 결실이 이런 건 아니야,0
447,아 진짜 제발 제발,0
448,세상은 재능과 혈통도 그게 왜 나와 뭔 상관이야 말도 되겠네,0
449,너무 좋다 나도 있어 학교 하자 그래 이렇게 되는구나,0
450,빨리 나오나 내가 돈 결제를 했거든,0
451,근데 내가 그래도 우정 때문에 내가 안 들어갔다,0
452,요것만 넘어가자 오케이 오케이,0
453,아니 이게 아니고 됐어 빌려주면 안 돼 수고,0
454,뭘 왜 너 안 돼 갈 수 있는 거를,0
455,나는 돈 없고 빽 없어 가지고,0
456,이거 그냥 이거 타고 그냥 한 거야,0
457,병신 새끼 처럼 그냥 또 저기 가는 거 보고 있네,1
458,알려 줄게 자 차 타라 싫음 말고,0
459,아니 이게 안 돼 네 거라고 해도 돼 아,0
460,여기가 안 되냐,0
461,그냥 적어라 포기하지 말고,0
462,뭐 근성 근성론 하더니 쳐 보라고 접어야 돼,0
463,이거 차가 안 좋으니까 안 돼 이건 지금 물었어,0
464,천재로서 에 영원히 살아 계시는 똥이야 이거 봐,0
465,이건 아니 다 불러 줄게 괜찮아 해 봐라 아,0
466,그래 갖고 저번에 나한테 통과해서,0
467,갖고 갈 수 있는 거를 역시 빼기 빼기 는 게 좋습니다 왔냐,0
468,저 지금 나온다,0
469,요렇게 다시 다시 다시 느낌이 잘 거 같은데,0
470,뭐가 잘 안 되냐고 너무 들어갔다,0
471,아 이거 잘못 3번 받는,0
472,거 중에서 없어져도 할 수 있다는 걸 보여 줘 빠져 있어,0
473,아 나 빠져 가지고 하면은 그 남자,0
474,똑같이 가는 거 보내지 말고,0
475,그냥 가야 돼 너무 아깝다,0
476,이거 다음에 봐 봐,0
477,이렇게 떠 어디가 50% 아수라 수고해라 새끼야 됐다,1
478,가속을 1호점 프롬 안 될 건데,0
479,아마 딸이 됐다,0
480,전기고문 오케이 아 뭐야 뭐야 뭐래 그 거야,0
481,아 왜 때 듣는 거야,0
482,아니 그 거야,0
483,아 또 하늘로 가려고 나갈 뻔 했는데,0
484,아 이럴 거면 그냥 엘리베이터 설치,0
485,해 어디까지 올라가는 거야,0
486,뭐 하는 거야,0
487,이게 어 뭐야 아,0
488,여기야 나 그거 알아,0
489,나 고백할게 나 계속 올라갔다가 올라갔다 했잖아 내려가고,0
490,알았어,0
491,나 그래서 이거 한 17까지 있나,0
492,참석한 사람 없어 뭐야,0
493,이렇게 똑똑해 뭐야 짜증 나게 해서 안 된다,0
494,했구나 속도 엄청 누르지 마시고 좀 속도 너무 줄인다,0
